set	num	price
sm7	32	0.03
sm75	32	0.05
sm8	32	0.1
sm1	33	0.04
sm2	33	0.04
sm3	33	0.15
sm35	33	0.05
sm4	33	0.05
sm5	33	0.04
sm6	33	0.02
sm7	33	0.03
sm75	33	0.1
sm8	33	0.1
sm1	34	0.09
sm2	34	0.01
sm3	34	0.03
sm35	34	0.04
sm4	34	1.99
sm5	34	0.12
sm6	34	0.03
sm7	34	0.05
sm75	34	0.1
sm8	34	1.59
sm1	35	1.75
sm2	35	0.08
sm3	35	0.06
sm35	35	0.12
sm4	35	0.04
sm5	35	0.04
sm6	35	0.05
sm7	35	0.15
sm75	35	0.1
sm8	35	0.05
sm1	36	0.05
sm2	36	0.02
sm3	36	0.02
sm35	36	0.04
sm4	36	0.03
sm5	36	0.04
sm6	36	0.1
sm7	36	0.03
sm75	36	0.1
sm8	36	0.05
sm1	37	0.04
sm2	37	0.03
sm3	37	0.03
sm35	37	0.06
sm4	37	0.05
sm5	37	0.04
sm6	37	0.04
sm7	37	0.05
sm75	37	2.75
sm8	37	0.1
sm1	38	0.04
sm2	38	1.65
sm3	38	0.09
sm35	38	0.03
sm4	38	0.44
sm5	38	0.08
sm6	38	0.05
sm7	38	0.49
sm75	38	0.1
sm8	38	0.1
sm1	39	0.01
sm2	39	0.04
sm3	39	1.69
sm35	39	2.29
sm4	39	0.02
sm5	39	2
sm6	39	0.1
sm7	39	0.03
sm75	39	0.1
sm8	39	0.06
sm1	40	0.03
sm2	40	0.04
sm3	40	0.04
sm35	40	7.92
sm4	40	0.08
sm5	40	0.09
sm6	40	0.07
sm7	40	0.1
sm75	40	0.1
sm8	40	0.06
sm1	41	0.1
sm2	41	0.04
sm3	41	0.18
sm35	41	0.09
sm4	41	0.03
sm5	41	0.1
sm6	41	0.05
sm7	41	0.04
sm75	41	1.98
sm8	41	0.08
sm1	42	1.84
sm2	42	0.11
sm3	42	0.03
sm35	42	1.99
sm4	42	0.03
sm5	42	0.04
sm6	42	0.05
sm7	42	0.05
sm75	42	0.1
sm8	42	0.2
sm1	43	0.09
sm2	43	0.04
sm3	43	0.08
sm35	43	0.03
sm4	43	0.03
sm5	43	0.04
sm6	43	0.05
sm7	43	0.05
sm75	43	0.1
sm8	43	0.06
sm1	44	0.02
sm2	44	0.09
sm3	44	0.03
sm35	44	0.07
sm4	44	0.04
sm5	44	0.08
sm6	44	0.04
sm7	44	0.03
sm75	44	0.99
sm8	44	2
sm1	45	0.03
sm2	45	1.5
sm3	45	0.05
sm35	45	1.24
sm4	45	0.1
sm5	45	0.04
sm6	45	0.05
sm7	45	0.04
sm75	45	0.1
sm8	45	0.06
sm1	46	0.05
sm2	46	0.05
sm3	46	0.06
sm35	46	0.04
sm4	46	0.04
sm5	46	0.03
sm6	46	0.05
sm7	46	0.15
sm75	46	0.1
sm8	46	0.1
sm1	47	0.05
sm2	47	1
sm3	47	0.05
sm35	47	0.06
sm4	47	0.25
sm5	47	0.04
sm6	47	0.02
sm7	47	0.03
sm75	47	0.1
sm8	47	0.1
sm1	48	0.06
sm2	48	0.03
sm3	48	0.08
sm35	48	0.04
sm4	48	0.1
sm5	48	0.18
sm6	48	0.04
sm7	48	1.66
sm75	48	1.7
sm8	48	0.1
sm1	49	0.03
sm2	49	0.03
sm3	49	0.05
sm35	49	0.05
sm4	49	1.99
sm5	49	0.03
sm6	49	0.09
sm7	49	0.03
sm75	49	0.1
sm8	49	0.1
sm1	50	0.08
sm2	50	0.05
sm3	50	0.05
sm35	50	0.04
sm4	50	0.03
sm5	50	0.04
sm6	50	0.05
sm7	50	0.03
sm75	50	0.1
sm8	50	0.05
sm1	51	0.08
sm2	51	0.17
sm2	51a	None
sm3	51	0.03
sm35	51	0.01
sm4	51	0.08
sm5	51	0.04
sm6	51	1.71
sm7	51	0.04
sm75	51	0.1
sm8	51	0.1
sm1	52	1.07
sm2	52	0.01
sm3	52	0.05
sm35	52	0.05
sm4	52	0.04
sm5	52	0.05
sm6	52	0.02
sm7	52	0.07
sm75	52	0.1
sm8	52	22.99
sm1	53	0.03
sm2	53	0.03
sm3	53	0.1
sm35	53	5.47
sm4	53	0.09
sm5	53	0.04
sm6	53	0.1
sm7	53	0.01
sm75	53	0.05
sm8	53	0.05
sm1	54	0.02
sm2	54	0.05
sm3	54	0.04
sm35	54	0.1
sm4	54	0.03
sm5	54	0.03
sm6	54	0.05
sm7	54	0.03
sm75	54	0.1
sm8	54	0.05
sm1	55	0.05
sm2	55	0.08
sm3	55	0.1
sm35	55	0.25
sm4	55	0.03
sm5	55	0.07
sm6	55	0.1
sm7	55	0.05
sm75	55	0.05
sm8	55	0.09
sm1	56	0.1
sm2	56	0.08
sm3	56	0.05
sm35	56	4.25
sm4	56	0.12
sm5	56	0.03
sm6	56	1.49
sm7	56	1.65
sm75	56	0.05
sm8	56	0.1
sm1	57	0.03
sm2	57	1.74
sm3	57	0.05
sm35	57	8
sm4	57	6.96
sm5	57	0.09
sm6	57	0.02
sm7	57	0.03
sm75	57	0.05
sm8	57	0.09
sm1	58	0.25
sm2	58	0.14
sm3	58	0.08
sm35	58	0.02
sm4	58	0.04
sm5	58	0.2
sm6	58	0.1
sm7	58	0.03
sm75	58	0.1
sm8	58	0.06
sm1	59	0.03
sm2	59	0.07
sm3	59	0.03
sm35	59	0.1
sm4	59	0.1
sm5	59	0.13
sm6	59	0.09
sm7	59	0.03
sm75	59	0.1
sm8	59	0.14
sm1	60	0.04
sm2	60	18
sm3	60	0.05
sm35	60	0.08
sm4	60	0.03
sm5	60	0.05
sm6	60	0.04
sm7	60	0.05
sm75	60	0.4
sm8	60	1.27
sm1	61	1.7
sm2	61	0.1
sm3	61	0.04
sm35	61	0.08
sm4	61	0.03
sm5	61	0.07
sm6	61	0.07
sm7	61	0.1
sm75	61	0.5
sm8	61	0.05
sm1	62	0.05
sm2	62	0.04
sm3	62	0.09
sm35	62	0.08
sm4	62	0.1
sm5	62	0.5
sm6	62	0.7
sm7	62	0.03
sm75	62	0.24
sm8	62	0.1
sm1	63	0.17
sm2	63	0.03
sm3	63	2.92
sm35	63	0.1
sm4	63	1.89
sm4	63a	2
sm5	63	1.95
sm6	63	0.03
sm7	63	0.03
sm75	63	0.14
sm8	63	0.75
sm1	64	0.04
sm2	64	0.04
sm3	64	1.78
sm35	64	0.07
sm4	64	0.03
sm5	64	0.04
sm6	64	0.07
sm7	64	0.04
sm75	64	0.05
sm8	64	0.05
sm1	65	0.09
sm2	65	0.1
sm3	65	0.05
sm35	65	0.05
sm4	65	0.03
sm5	65	0.15
sm6	65	0.05
sm7	65	0.05
sm75	65	5
sm8	65	0.05
sm1	66	1.5
sm2	66	0.04
sm3	66	0.05
sm35	66	0.09
sm4	66	0.03
sm5	66	0.04
sm6	66	0.03
sm7	66	1.8
sm75	66	5
sm8	66	0.06
sm1	67	0.02
sm2	67	0.02
sm3	67	0.13
sm35	67	0.09
sm4	67	0.16
sm5	67	0.45
sm6	67	0.08
sm7	67	3
sm75	67	6.75
sm8	67	0.1
sm1	68	0.09
sm2	68	0.04
sm3	68	0.05
sm35	68	0.2
sm4	68	0.1
sm5	68	0.04
sm6	68	0.05
sm7	68	0.05
sm75	68	2.7
sm8	68	0.05
sm1	69	0.01
sm2	69	0.04
sm3	69	0.05
sm35	69	0.67
sm4	69	0.08
sm5	69	0.05
sm6	69	0.13
sm7	69	0.05
sm75	69	4.2
sm8	69	0.1
sm1	70	0.01
sm2	70	0.02
sm3	70	0.05
sm35	70	0.05
sm4	70	1.75
sm5	70	0.03
sm6	70	0.04
sm7	70	0.14
sm75	70	11.23
sm8	70	0.05
sm1	71	0.09
sm2	71	0.07
sm3	71	0.12
sm35	71	1.49
sm4	71	0.05
sm5	71	0.04
sm6	71	0.04
sm7	71	0.03
sm75	71	10
sm8	71	0.05
sm1	72	0.04
sm2	72	0.04
sm3	72	0.05
sm35	72	2.79
sm4	72	0.08
sm5	72	0.05
sm6	72	0.08
sm7	72	0.03
sm75	72	7
sm8	72	0.1
sm1	73	0.03
sm2	73	0.04
sm3	73	0.03
sm35	73	1.7
sm4	73	0.19
sm5	73	0.05
sm6	73	2.42
sm7	73	0.05
sm75	73	9.39
sm8	73	0.06
sm1	74	0.02
sm2	74	4
sm3	74	0.06
sm35	74	10.76
sm4	74	1.97
sm5	74	2
sm6	74	1.93
sm7	74	0.03
sm75	74	8.5
sm8	74	0.1
sm1	75	0.06
sm2	75	0.04
sm3	75	0.1
sm35	75	12
sm4	75	0.03
sm5	75	0.04
sm6	75	0.02
sm7	75	0.05
sm75	75	6.26
sm8	75	0.06
sm1	76	0.04
sm2	76	0.1
sm3	76	0.08
sm35	76	27.08
sm4	76	0.03
sm5	76	0.03
sm6	76	0.08
sm7	76	0.03
sm75	76	8
sm8	76	0.05
sm1	77	0.05
sm2	77	0.12
sm3	77	0.03
sm35	77	18.28
sm4	77	0.08
sm5	77	0.2
sm6	77	0.95
sm7	77	0.05
sm75	77	8.86
sm8	77	0.09
sm1	78	0.04
sm2	78	0.04
sm3	78	0.06
sm35	78	11.75
sm4	78	0.04
sm5	78	0.04
sm6	78	0.05
sm7	78	0.04
sm75	78	52.81
sm8	78	0.1
sm1	79	0.05
sm2	79	0.08
sm3	79	0.06
sm4	79	0.03
sm5	79	0.09
sm6	79	1.5
sm7	79	0.07
sm8	79	0.1
sm1	80	1.72
sm2	80	0.04
sm3	80	1.75
sm4	80	0.05
sm5	80	0.05
sm6	80	0.1
sm7	80	0.05
sm8	80	0.06
sm1	81	0.04
sm2	81	0.15
sm3	81	0.04
sm4	81	0.03
sm5	81	0.03
sm6	81	0.11
sm7	81	0.1
sm8	81	0.06
sm1	82	0.15
sm2	82	0.08
sm3	82	0.08
sm4	82	0.03
sm5	82	0.04
sm6	82	1.75
sm7	82	1
sm8	82	0.83
sm1	83	0.04
sm2	83	0.05
sm3	83	0.05
sm4	83	0.09
sm5	83	0.31
sm6	83	0.04
sm7	83	0.05
sm8	83	0.06
sm1	84	0.05
sm2	84	0.02
sm3	84	1.5
sm4	84	0.15
sm4	84a	None
sm5	84	0.04
sm6	84	0.05
sm7	84	0.03
sm8	84	0.06
sm1	85	0.1
sm2	85	2
sm3	85	0.03
sm4	85	0.03
sm5	85	0.1
sm6	85	0.05
sm7	85	0.81
sm8	85	0.1
sm1	86	0.04
sm2	86	0.05
sm3	86	0.05
sm4	86	0.03
sm5	86	0.03
sm6	86	0.09
sm7	86	0.03
sm8	86	12.07
sm1	87	0.1
sm2	87	0.1
sm3	87	0.14
sm4	87	0.03
sm5	87	0.03
sm6	87	0.07
sm7	87	0.2
sm8	87	0.09
sm1	88	0.04
sm2	88	0.04
sm3	88a	1.82
sm3	88	1.5
sm4	88	0.03
sm5	88	0.09
sm6	88	0.05
sm7	88	0.05
sm8	88	0.09
sm1	89	4
sm2	89	0.04
sm3	89	0.04
sm4	89	0.15
sm5	89	0.44
sm6	89	0.05
sm7	89	0.2
sm8	89	0.1
sm1	90	0.03
sm2	90	0.04
sm3	90	0.06
sm4	90	1.68
sm5	90	2.5
sm6	90	1.49
sm7	90	1.75
sm8	90	0.1
sm1	91	0.05
sm2	91	0.05
sm3	91	0.04
sm4	91	0.1
sm5	91	0.1
sm6	91	0.05
sm7	91	0.05
sm8	91	0.1
sm1	92	0.03
sm2	92	3.49
sm3	92a	0.8
sm3	92	0.03
sm4	92	0.03
sm5	92	0.04
sm6	92	0.03
sm7	92	0.03
sm8	92	0.1
sm1	93	0.1
sm2	93	0.1
sm3	93	7.5
sm4	93	0.1
sm5	93	0.1
sm6	93	0.05
sm7	93	0.03
sm8	93	None
sm1	94	0.04
sm2	94	0.04
sm3	94	0.09
sm4	94	0.03
sm5	94	0.2
sm6	94	0.09
sm7	94	0.05
sm8	94	0.09
sm1	95	0.03
sm2	95	0.03
sm3	95	0.04
sm4	95	0.08
sm5	95	0.1
sm6	95	4.73
sm7	95	0.45
sm8	95	0.1
sm1	96	0.19
sm2	96	0.1
sm3	96	0.05
sm4	96	0.1
sm5	96	0.03
sm6	96	0.2
sm7	96	0.07
sm8	96	0.08
sm1	97	0.02
sm2	97	0.12
sm3	97	0.03
sm4	97	0.07
sm5	97	0.03
sm6	97	0.03
sm7	97	0.23
sm8	97	3
sm1	98	0.04
sm2	98	0.04
sm3	98	0.08
sm4	98	0.03
sm5	98	0.04
sm6	98	0.05
sm7	98	0.1
sm8	98	1.47
sm1	99	0.1
sm2	99	0.02
sm3	99	1.5
sm4	99	0.05
sm5	99	0.09
sm6	99	0.05
sm7	99	0.15
sm8	99	0.05
sm1	100	1.5
sm2	100	1.98
sm3	100	0.13
sm4	100	0.17
sm5	100	1.5
sm6	100	0.05
sm7	100	0.44
sm8	100	0.14
sm1	101	0.24
sm2	101	0.05
sm3	101	0.04
sm4	101	4.51
sm5	101	1.35
sm6	101	0.08
sm7	101	0.05
sm8	101	0.05
sm1	102	0.06
sm2	102	0.1
sm3	102	0.07
sm4	102	1.53
sm5	102	0.04
sm6	102	0.68
sm7	102	1.99
sm8	102	0.08
sm1	103	0.04
sm2	103	0.02
sm3	103	0.05
sm4	103	2.49
sm5	103	0.1
sm6	103	0.06
sm7	103	0.04
sm8	103	0.1
sm1	104	0.03
sm2	104	0.07
sm3	104	0.05
sm4	104	11
sm5	104	0.04
sm6	104	0.1
sm7	104	0.04
sm8	104	0.1
sm1	105	0.09
sm2	105	0.04
sm3	105	0.11
sm3	105a	0.5
sm4	105	3.39
sm5	105	0.05
sm6	105	0.31
sm7	105	0.05
sm8	105	0.05
sm1	106	0.02
sm2	106	0.1
sm3	106	0.03
sm4	106	3.44
sm5	106	0.03
sm6	106	0.05
sm7	106	0.1
sm8	106	0.15
sm1	107	0.03
sm2	107	0.03
sm3	107	0.05
sm4	107	2.25
sm5	107	0.04
sm6	107	0.05
sm7	107	0.2
sm8	107	0.09
sm1	108	0.05
sm2	108	0.04
sm3	108	0.05
sm4	108	2.7
sm5	108	0.03
sm6	108	0.19
sm7	108	0.2
sm8	108	4.99
sm1	109	0.03
sm2	109	0.03
sm3	109	0.04
sm4	109	5.41
sm5	109	0.03
sm6	109	0.15
sm7	109	13.57
sm8	109	0.05
sm1	110	1.47
sm2	110	0.03
sm3	110	0.03
sm4	110	8.31
sm5	110	0.1
sm6	110	0.15
sm7	110	0.1
sm8	110	0.08
sm1	111	0.03
sm2	111	0.07
sm3	111	0.07
sm4	111	7.35
sm5	111	0.07
sm6	111	0.05
sm7	111	0.03
sm8	111	0.05
sm1	112	0.05
sm2	112	0.03
sm3	112	0.28
sm4	112	13.5
sm5	112	0.04
sm6	112	0.1
sm7	112	0.05
sm8	112	0.1
sm1	113	6.49
sm2	113	0.04
sm3	113	0.08
sm4	113	5.47
sm5	113	0.04
sm6	113	0.86
sm7	113	0.03
sm8	113	0.08
sm1	114	0.05
sm2	114	0.03
sm3	114	0.05
sm4	114	5.39
sm5	114	0.1
sm6	114	0.05
sm7	114	0.05
sm8	114	0.06
sm1	115	0.1
sm2	115	1.19
sm3	115	3
sm4	115	18
sm5	115	0.1
sm6	115	0.05
sm7	115	0.24
sm8	115	0.05
sm1	116	0.05
sm2	116	0.05
sm3	116	0.04
sm4	116	5.75
sm5	116	1.5
sm6	116	0.05
sm7	116	0.03
sm8	116	0.08
sm1	117	0.05
sm2	117	0.03
sm3	117	0.09
sm4	117	5.99
sm5	117	0.1
sm6	117	2.31
sm7	117	0.03
sm8	117	0.05
sm1	118	0.07
sm2	118	0.03
sm3	118	0.05
sm4	118	5.54
sm5	118	0.05
sm6	118	0.1
sm7	118	0.04
sm8	118	0.05
sm1	119	0.05
sm2	119	0.1
sm3	119	0.06
sm4	119	7.04
sm5	119	5.8
sm6	119	1.94
sm7	119	0.07
sm8	119	0.1
sm1	120	0.03
sm2	120	0.1
sm3	120	0.05
sm4	120	7.72
sm5	120	0.25
sm6	120	7
sm7	120	0.03
sm8	120	0.15
sm1	121	0.04
sm2	121	0.5
sm3	121	0.07
sm4	121	9.92
sm5	121	0.04
sm6	121	5.25
sm7	121	0.15
sm8	121	1.98
sm1	122	0.08
sm2	122	0.05
sm3	122	0.04
sm4	122	7.93
sm5	122	0.15
sm6	122	3.79
sm7	122	0.04
sm8	122	0.1
sm1	123	0.2
sm2	123	0.05
sm3	123	0.04
sm4	123	3.3
sm5	123	0.03
sm6	123	2.89
sm7	123	0.45
sm8	123	0.1
sm1	124	0.09
sm2	124	0.07
sm3	124	0.04
sm4	124	23.21
sm5	124	0.07
sm6	124	2.5
sm7	124	0.25
sm8	124	0.08
sm1	125	0.05
sm2	125	0.13
sm3	125	0.04
sm5	125	0.18
sm6	125	2.41
sm7	125	0.08
sm8	125	0.09
sm1	126	0.05
sm2	126	0.04
sm3	126	0.05
sm5	126	0.05
sm6	126	2.49
sm7	126	0.05
sm8	126	0.1
sm1	127	0.05
sm2	127	0.03
sm3	127	0.07
sm5	127	0.06
sm6	127	10.38
sm7	127	0.08
sm8	127	0.15
sm1	128	0.09
sm2	128	0.08
sm3	128	0.12
sm5	128	0.1
sm6	128	3
sm7	128	0.09
sm8	128	0.06
sm1	129	0.2
sm2	129	0.02
sm3	129	3
sm5	129	0.04
sm6	129	2
sm7	129	0.03
sm8	129	0.1
sm1	130	0.08
sm2	130	0.1
sm3	130	3
sm5	130	0.12
sm6	130	7.07
sm7	130	0.07
sm8	130	1.35
sm1	131	0.03
sm2	131	2
sm3	131	3.86
sm5	131	0.28
sm6	131	3.75
sm7	131	0.1
sm8	131	0.1
sm1	132	0.07
sm2	132	3
sm3	132	2.7
sm5	132	0.18
sm6	132	5.8
sm7	132	0.05
sm8	132	34
sm1	133	0.1
sm2	133	2.54
sm3	133	2
sm5	133	0.1
sm6	133	13.5
sm7	133	0.05
sm8	133	0.05
sm1	134	0.08
sm2	134	1.89
sm3	134	6.2
sm5	134	0.05
sm6	134	9
sm7	134	0.1
sm8	134	0.1
sm1	135	0.25
sm2	135	3.2
sm3	135	2
sm5	135	0.23
sm6	135	8.32
sm7	135	0.09
sm8	135	0.05
sm1	136	0.62
sm2	136	2
sm3	136	2.95
sm5	136	0.59
sm6	136	9.25
sm7	136	0.04
sm8	136	0.09
sm1	137	0.1
sm2	137	22.49
sm3	137	4.44
sm5	137	0.09
sm6	137	5.88
sm7	137	0.09
sm8	137	0.09
sm1	138	2
sm2	138	5.44
sm3	138	2.04
sm5	138	0.2
sm6	138	5.15
sm7	138	0.05
sm8	138	0.73
sm1	139	2.95
sm2	139	3.63
sm3	139	2.19
sm5	139	4.25
sm6	139	6
sm7	139	0.05
sm8	139	0.06
sm1	140	3.13
sm2	140	6.44
sm3	140	15.2
sm5	140	3.25
sm6	140	15.49
sm7	140	0.1
sm8	140	0.1
sm1	141	2.25
sm2	141	2
sm3	141	2.75
sm5	141	6.56
sm6	141	19.05
sm7	141	0.06
sm8	141	0.14
sm1	142	2
sm2	142	1.98
sm3	142	22.95
sm5	142	5.25
sm6	142	3.8
sm7	142	0.7
sm8	142	0.07
sm1	143	6.08
sm2	143	2.44
sm3	143	28.94
sm5	143	5.39
sm6	143	11.16
sm7	143	4.93
sm8	143	0.08
sm1	144	1.72
sm2	144	2.83
sm3	144	7.87
sm5	144	2
sm6	144	6
sm7	144	0.09
sm8	144	0.1
sm1	145	1.8
sm2	145	4.2
sm3	145	8.39
sm5	145	6.21
sm6	145	22.87
sm7	145	1.53
sm8	145	0.06
sm1	146	2.23
sm2	146	13.69
sm3	146	5.36
sm5	146	2.19
sm6	146	19.98
sm7	146	0.05
sm8	146	0.1
sm1	147	19.79
sm2	147	7.5
sm3	147	6.94
sm5	147	2.29
sm7	147	0.05
sm8	147	0.05
sm1	148	5
sm2	148	5.33
sm3	148	6.65
sm5	148	71.98
sm7	148	0.5
sm8	148	0.05
sm1	149	3.17
sm2	149	4.75
sm3	149	6.25
sm5	149	4.82
sm7	149	0.07
sm8	149	1.8
sm1	150	4.69
sm2	150	9.11
sm3	150	170.06
sm5	150	4.94
sm7	150	0.02
sm8	150	0.1
sm1	151	6.03
sm2	151	6.02
sm3	151	4.99
sm5	151	40.5
sm7	151	0.2
sm8	151	0.1
sm1	152	8.23
sm2	152	5.6
sm3	152	5.63
sm5	152	3
sm7	152	1.89
sm8	152	0.05
sm1	153	8.94
sm2	153	6.56
sm3	153	9
sm5	153	11.18
sm7	153	4
sm8	153	0.12
sm1	154	9.16
sm2	154	4.92
sm3	154	6.98
sm5	154	8
sm7	154	4.29
sm8	154	3.68
sm1	155	12.39
sm2	155	36.86
sm3	155	8
sm5	155	4.5
sm7	155	1.95
sm8	155	0.05
sm1	156	4.68
sm2	156	9.9
sm3	156	8
sm5	156	15.3
sm7	156	2.49
sm8	156	0.06
sm1	157	4.63
sm2	157	7.99
sm3	157	6
sm5	157	8
sm7	157	6.2
sm8	157	0.1
sm1	158	18.32
sm2	158	18.75
sm3	158	8
sm5	158	4.67
sm7	158	3.49
sm8	158	0.1
